Postcode	Sales_Rep_ID	Sales_Rep_Name	Year
2121	456	Jane	2011
2092	789	Ashish	2012
2128	456	Jane	2013
2073	123	John	2011
2134	789	Ashish	2012
2162	123	John	2013
2093	456	Jane	2011
2042	789	Ashish	2012
2198	123	John	2013
2043	789	Ashish	2011
2025	789	Ashish	2012
2045	456	Jane	2013
2090	456	Jane	2011
2114	456	Jane	2012
2142	456	Jane	2013
2062	123	John	2011
2049	456	Jane	2012
2204	456	Jane	2013
2000	456	Jane	2011
2135	123	John	2012
2115	456	Jane	2013
2032	789	Ashish	2011
2068	456	Jane	2012
2119	789	Ashish	2013
2060	456	Jane	2011
2072	456	Jane	2012
2140	456	Jane	2011
2205	789	Ashish	2012
2118	123	John	2012
2137	789	Ashish	2013
2021	789	Ashish	2011
2044	123	John	2012
2008	789	Ashish	2013
2027	456	Jane	2012
2110	456	Jane	2013
2164	789	Ashish	2012
2067	789	Ashish	2013
2100	123	John	2011
2038	789	Ashish	2013
2011	123	John	2011
2143	789	Ashish	2012
2170	456	Jane	2013
2086	456	Jane	2012
2203	123	John	2011
2112	456	Jane	2013
2052	456	Jane	2011
2133	456	Jane	2012
2087	789	Ashish	2011
2065	456	Jane	2012
2016	789	Ashish	2013
2099	789	Ashish	2011
2040	456	Jane	2012
2034	789	Ashish	2013
2190	789	Ashish	2012
2006	123	John	2011
2132	789	Ashish	2013
2147	123	John	2011
2165	789	Ashish	2013
2009	123	John	2011
2195	789	Ashish	2012
2029	123	John	2013
2199	123	John	2011
2046	456	Jane	2012
2050	456	Jane	2013
2047	789	Ashish	2011
2041	789	Ashish	2013
2023	456	Jane	2011
2094	456	Jane	2012
2022	123	John	2013
2026	456	Jane	2011
2007	123	John	2012
2064	456	Jane	2013
2125	789	Ashish	2012
2070	123	John	2013
2096	123	John	2013
2123	456	Jane	2011
2200	456	Jane	2012
2166	456	Jane	2011
2160	123	John	2012
2048	456	Jane	2013
2030	123	John	2011
2127	456	Jane	2013
2088	456	Jane	2013
2089	123	John	2012
2139	123	John	2013
2117	789	Ashish	2011
2109	123	John	2012
2141	456	Jane	2013
2196	123	John	2012
2129	789	Ashish	2011
2136	456	Jane	2013
2113	123	John	2011
2194	789	Ashish	2011
2017	456	Jane	2012
2122	789	Ashish	2013
2066	456	Jane	2011
2150	789	Ashish	2013
2116	123	John	2012
2144	123	John	2013
2111	123	John	2011
2037	456	Jane	2012
2018	456	Jane	2013
2145	123	John	2011
2197	789	Ashish	2012
2191	789	Ashish	2012
2010	123	John	2011
2146	789	Ashish	2012
2206	789	Ashish	2011
2071	123	John	2012
2095	123	John	2013
2024	123	John	2011
2039	789	Ashish	2013
2152	123	John	2013
2031	789	Ashish	2012
2015	123	John	2011
2028	123	John	2011
2151	789	Ashish	2011
2153	123	John	2013
2138	789	Ashish	2013
2061	456	Jane	2013
2161	789	Ashish	2012
2091	456	Jane	2011
2063	789	Ashish	2011
2192	456	Jane	2013
2163	789	Ashish	2013
2193	123	John	2013
2131	123	John	2012
2069	456	Jane	2013
2033	456	Jane	2012
2130	123	John	2013
